"","SMILES","DB","ID","scaffold","scaffold_id","NA","NA"
"123","C(=C/CC/C(=C/CC1c2c(NC1)cccc2)/C)(\CCC=C(C)C)/C","EANPD","ANNO_02005","c1ccc2c(c1)NCC2","c1ccc2c(c1)NCC2",NA,42
"124","C(=C/CC=C(C)C)(\C=C)/C","EANPD","BURS_00043","0",NA,NA,8
"125","C(=C/CC=C(C)C)(\C=C)/C","NANPDB","1970","0",NA,NA,8
"126","C(=C/Cc1c2c([nH]c1)cccc2)(\CCC=C(C)C)/C","EANPD","ANNO_00039","c1ccc2[nH]ccc2c1","c1ccc2[nH]ccc2c1",NA,31
"127","C(=C/CCC(=C)C)(\C=C)/C","EANPD","BURS_00045","0",NA,NA,8
"128","C(=C/CCC)\CCC","EANPD","BOVI_00054","0",NA,NA,8
"129","C(=C\C(C)(C)c1ccccc1)(\C)/c1ccccc1","EANPD","BURS_00103","c1ccccc1","c1ccccc1","c1ccc(cc1)C=CCc2ccccc2",3
"130","C(=C\CC)\CCCCCCCC","NANPDB","5875","0",NA,NA,8
"131","C(=C\CC/C(=C/CC/C=C(\CC/C=C(/CCC=C(C)C)\C)/C)/C)(\CCC=C(C)C)/C","NANPDB","693","0",NA,NA,8
"132","C(=C\CC=C(C)C)(\C=C)/C","EANPD","ASTE_00203","0",NA,NA,8
"133","C(=C\CC1C(=C)CCC2C(C)(C)CCC[C@]12C)(\C=C)/C","EANPD","BURS_00180","C1CCC2CCCCC2C1","C1CCC2CCCCC2C1",NA,4
"134","C(=C\CCCC)\CCCCCCCCCCCCC","NANPDB","4259","0",NA,NA,8
"135","C(=C\CCCCCCCCC)\CCCCCCCCCCCCCCC","NANPDB","4177","0",NA,NA,8
"136","C(=CC(CC(C)c1ccccc1)C)(C)C","NANPDB","1976","c1ccccc1","c1ccccc1",NA,3
"137","C(=CCC[C@@]1(C)[C@@H]2C(C)=CC[C@H]1C2)(C)C","NANPDB","5252","C1=CC2CC(C1)C2","C1=CC2CC(C1)C2",NA,43
"138","C(=CCc1cc2[nH]ccc2cc1)(C)C","EANPD","ANNO_00036","c1ccc2[nH]ccc2c1","c1ccc2[nH]ccc2c1",NA,31
"139","C(=CCc1cc2c([nH]cc2)cc1)(C)C","EANPD","ANNO_00015","c1ccc2[nH]ccc2c1","c1ccc2[nH]ccc2c1",NA,31
"140","C(=CCc1cc2c(C(/C=C/C)(C)C)c[nH]c2cc1)(C)C","EANPD","ANNO_00040","c1ccc2[nH]ccc2c1","c1ccc2[nH]ccc2c1",NA,31
"141","C(=CCc1cc2n(-c3c4c([nH]c3)cc(CC=C(C)C)cc4)ccc2cc1)(C)C","EANPD","ANNO_00033","c1ccc2[nH]ccc2c1","c1ccc2[nH]ccc2c1","c1ccc2c(c1)ccn2-c3c[nH]c4ccccc43",31
"142","C(=CCCC(=C)[C@@H]1CC=C(C)CC1)(C)C","NANPDB","2825","C1=CCCCC1","C1=CCCCC1",NA,1
"143","C(=CCCC(C)c1ccc(C)cc1)(C)C","NANPDB","5256","c1ccccc1","c1ccccc1",NA,3
"144","C(C(C)C)(=C)CC/C(=C/CCC(C)C12OOC(C)(C=C1)CC2)/C","NANPDB","1931","O1OC2C=CC1CC2","O1OC2C=CC1CC2",NA,44
"145","C(C(C#C)(C)c1ccccc1)#C","NANPDB","1759","c1ccccc1","c1ccccc1",NA,3
"146","C(C(C=C(C)C)C=C)(=C)C","NANPDB","1564","0",NA,NA,8
"147","C(C(CC)C)(CCCC)C","EANPD","BURS_00054","0",NA,NA,8
"148","C(C(CCCC)CC)(=C)C","EANPD","BOVI_00027","0",NA,NA,8
"149","C(C)(C)[C@]12[C@H](C(C)=CC1)C2","EANPD","BURS_00107","C1=CC2CC2C1","C1=CC2CC2C1",NA,45
"150","C(C)(C)[C@@]12[C@@H](C(C)=CC1)C2","NANPDB","4917","C1=CC2CC2C1","C1=CC2CC2C1",NA,45
"151","C(C)(C)[C@@H]1[C@]2(C)[C@H]([C@@]3(C)[C@@](C)([C@@H]4[C@](C)([C@H]5[C@@](C)([C@]6(C)O[C@@H]6CC5)CC4)CC3)CC2)CC1","NANPDB","3492","O1C2CCC3C(CCC4C5CCC6CCCC6C5CCC34)C12","O1C2CCC3C(CCC4C5CCC6CCCC6C5CCC34)C12",NA,46
"152","C(C)(C)[C@@H]1[C@@H]2[C@@H](C(=C)CC1)CCC(C)=C2","NANPDB","4884","C1=CC2CCCCC2CC1","C1=CC2CCCCC2CC1",NA,34
"154","C(C)(C)[C@@H]1[C@@H]2[C@@H](C(=C)CC1)CCC(C)=C2","EANPD","BURS_00082","C1=CC2CCCCC2CC1","C1=CC2CCCCC2CC1",NA,34
"156","C(C)(C)[C@@H]1C=2[C@H]([C@H](C)CC1)CC=C(C)C=2","NANPDB","5070","C=1C=C2CCCCC2CC1","C=1C=C2CCCCC2CC1",NA,47
"157","C(C)(C)[C@@H]1c2c([C@@H](C)CC1)ccc(C)c2","NANPDB","5076","c1ccc2c(c1)CCCC2","c1ccc2c(c1)CCCC2",NA,48
"158","C(C)(C)[C@@H]1c2c([C@H](C)CC1)ccc(C)c2","EANPD","BURS_00102","c1ccc2c(c1)CCCC2","c1ccc2c(c1)CCCC2",NA,48
"159","C(C)(C)[C@H]1[C@@H]2[C@H]3C(=C)CC[C@@]23[C@H](C)CC1","NANPDB","2841","C1CCC23CCCC3C2C1","C1CCC23CCCC3C2C1",NA,49
"161","C(C)(C)[C@H]1[C@@H]2[C@H]3C(=C)CC[C@@]23[C@H](C)CC1","EANPD","BURS_00071","C1CCC23CCCC3C2C1","C1CCC23CCCC3C2C1",NA,49
"163","C(C)(C)[C@H]1[C@@H]2[C@H]3C(=C)CC[C@@H]2[C@@]3(C)CC1","NANPDB","1606","C1CC2C3CCCC2C3C1","C1CC2C3CCCC2C3C1",NA,50
"164","C(C)(C)[C@H]1[C@@H]2[C@H]3C(C)=CC[C@@]23[C@H](C)CC1","NANPDB","4876","C1=CC2C3CCCCC23C1","C1=CC2C3CCCCC23C1",NA,51
"166","C(C)(C)[C@H]1[C@@H]2[C@H]3C(C)=CC[C@@]23[C@H](C)CC1","EANPD","BURS_00064","C1=CC2C3CCCCC23C1","C1=CC2C3CCCCC23C1",NA,51
"168","C(C)(C)[C@H]1[C@@H]2[C@H]3C(C)=CC[C@@H]2[C@@]3(C)CC1","EANPD","BURS_00065","C1=CC2C3CCCC2C3C1","C1=CC2C3CCCC2C3C1",NA,52
"169","C(C)(C)[C@H]1[C@@H]2[C@H]3C(C)=CCC2[C@@]3(C)CC1","NANPDB","1548","C1=CC2C3CCCC2C3C1","C1=CC2C3CCCC2C3C1",NA,52
"170","C(C)(C)[C@H]1[C@H]2[C@](C)([C@H]3[C@@H]2C(=C)CC3)CC1","NANPDB","5065","C1CC2C(C1)C3CCCC23","C1CC2C(C1)C3CCCC23",NA,53
"172","C(C)(C)[C@H]1[C@H]2[C@](C)([C@H]3[C@@H]2C(=C)CC3)CC1","EANPD","BURS_00066","C1CC2C(C1)C3CCCC23","C1CC2C(C1)C3CCCC23",NA,53
"174","C(C)(C)[C@H]1[C@H]2[C@@H](C(=C)CC1)CCC(C)=C2","NANPDB","1154","C1=CC2CCCCC2CC1","C1=CC2CCCCC2CC1",NA,34
"175","C(C)(C)[C@H]1[C@H]2[C@@H](C(C)=CC1)CCC(C)=C2","EANPD","BURS_00085","C1=CC2CCC=CC2CC1","C1=CC2CCC=CC2CC1",NA,54
"177","C(C)(C)[C@H]1[C@H]2[C@@H](C(C)=CC1)CCC(C)=C2","NANPDB","297","C1=CC2CCC=CC2CC1","C1=CC2CCC=CC2CC1",NA,54
"179","C(C)(C)[C@H]1[C@H]2[C@H](C(=C)CC1)CCC(=C)C2","NANPDB","4885","C1CCC2CCCCC2C1","C1CCC2CCCCC2C1",NA,4
"180","C(C)(C)[C@H]1[C@H]2[C@H](C(C)=CC1)CC=C(C)C2","NANPDB","1665","C1=CCC2CCC=CC2C1","C1=CCC2CCC=CC2C1",NA,55
"181","C(C)(C)[C@H]1[C@H]2[C@H](C(C)=CC1)CCC(C)=C2","EANPD","BURS_00083","C1=CC2CCC=CC2CC1","C1=CC2CCC=CC2CC1",NA,54
"182","C(C)(C)[C@H]1[C@H]2C(=C(C)CC1)CCC(C)=C2","NANPDB","1611","C1=CC2C(=CCCC2)CC1","C1=CC2C(=CCCC2)CC1",NA,56
