node_id,name,smiles,feat_mw,feat_logp
C_2483,gamma-muurolene,C=C1CC[C@@H](C(C)C)[C@@H]2C=C(C)CC[C@H]12,204.35699999999994,4.581100000000004
C_2484,aloin,O=C1c2c(O)cccc2[C@H]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21,418.39800000000014,-0.8912000000000002
C_2485,maslinic acid,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,472.71000000000026,6.204400000000009
C_2486,ledol,CC1CCC2C1C1C(CCC2(C)O)C1(C)C,222.37199999999996,3.4657000000000027
C_2487,8-prenylluteone,CC(C)=CCc1c(O)c(CC=C(C)C)c2occ(-c3ccc(O)cc3O)c(=O)c2c1O,422.47700000000015,5.299800000000007
C_2488,ethyl gallate,CCOC(=O)c1cc(O)c(O)c(O)c1,198.17399999999998,0.9800999999999997
C_2489,mucusisoflavone a,CC1=C[C@H](c2cc(-c3coc4cc(O)cc(O)c4c3=O)ccc2O)[C@](C)(/C=C/c2cc(-c3coc4cc(O)cc(O)c4c3=O)ccc2O)CC1,672.6860000000001,8.01040000000001
C_2490,atropine,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,289.37500000000006,1.9308999999999996
C_2491,trisphaeridine,c1ccc2c(c1)ncc1cc3c(cc12)OCO3,223.23099999999994,3.1167000000000016
C_2492,lycorine,O[C@H]1C=C2CCN3Cc4cc5c(cc4[C@H]([C@@H]1O)[C@@H]23)OCO5,287.3150000000001,0.7485999999999999
C_2493,quinic acid,O=C(O)C1(O)CC(O)C(O)C(O)C1,192.167,-2.3214000000000006
C_2494,eucalyptol,CC12CCC(CC1)C(C)(C)O2,154.253,2.7441000000000013
C_2495,resveratrol,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,228.247,2.9738000000000016
C_2496,pectolinarigenin,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1,314.293,2.8884000000000007
C_2497,linalyl acetate,C=CC(C)(CCC=C(C)C)OC(C)=O,196.28999999999996,3.2406000000000024
C_2498,miquelianin,O=C(O)C1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,478.3620000000002,-0.44659999999999994
C_2499,chrysosplenol d,COc1cc2oc(-c3ccc(O)c(O)c3)c(OC)c(=O)c2c(O)c1OC,360.31800000000015,2.6026000000000007
C_2500,rhamnocitrin,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)cc3)oc2c1,300.266,2.585400000000001
C_2501,santin,COc1ccc(-c2oc3cc(O)c(OC)c(O)c3c(=O)c2OC)cc1,344.3190000000001,2.897000000000001
C_2502,pseudolycorine,COc1cc2c(cc1O)[C@@H]1[C@H](O)[C@@H](O)C=C3CCN(C2)[C@H]31,289.331,0.7341
C_2503,bergapten,COc1c2ccoc2cc2oc(=O)ccc12,216.19199999999995,2.5478000000000005
